Date,Vis_in,Vis_out,IR_in,IR_out,,,,,,,,,,,,,,
1-Jan,72.60404167,48.06254861,229.3722222,266.4097222,,,,,,,,,,,,,,
2-Jan,74.20967361,48.13854167,219.5236111,270.9798611,,,,,,,,,,,,,,
3-Jan,67.96619444,44.72910417,212.0159722,250.9756945,,,# Dataset 6,,,# Dataset 7,,,# Dataset 8,,,# Dataset 9,,
4-Jan,72.72070833,46.97860417,218.8326389,259.3173611,,,#    qaqc: qaqc,,,#    qaqc: qaqc,,,#    qaqc: qaqc,,,#    qaqc: qaqc,,
5-Jan,69.227375,45.65339583,237.0979167,271.1430556,,,#    average_interval: hourly,,,#    average_interval: hourly,,,#    average_interval: hourly,,,#    average_interval: hourly,,
6-Jan,38.75028473,27.5934375,269.1201389,284.3097222,,,#    average_type: AVG,,,#    average_type: AVG,,,#    average_type: AVG,,,#    average_type: AVG,,
7-Jan,75.99313195,56.61094445,269.8215278,290.5465278,,,#    startdate: 2017-10-1,,,#    startdate: 2017-10-1,,,#    startdate: 2017-10-1,,,#    startdate: 2017-10-1,,
8-Jan,69.42175694,48.37438194,248.04375,270.5826389,,,#    enddate: 2018-10-1,,,#    enddate: 2018-10-1,,,#    enddate: 2018-10-1,,,#    enddate: 2018-10-1,,
9-Jan,56.96583333,44.34283333,298.8451389,307.2777778,,,#    datatype: solar_radiation_in_CNR1,,,#    datatype: solar_radiation_out_CNR1,,,#    datatype: infrared_radiation_in_CNR1_corr,,,#    datatype: infrared_radiation_out_CNR1_corr,,
10-Jan,36.86865972,32.45743055,299.125,301.9847222,,,#    borehole: ER_CSMWS,,,#    borehole: ER_CSMWS,,,#    borehole: ER_CSMWS,,,#    borehole: ER_CSMWS,,
11-Jan,81.01427778,58.11567361,222.2631944,270.31875,,,#    depth: 0.00 ,,,#    depth: 0.00 ,,,#    depth: 0.00 ,,,#    depth: 0.00 ,,
12-Jan,48.04740972,39.91779167,266.2020833,277.0527778,,,Dataset 1 solar_radiation_in_CNR1 ER_CSMWS,,,Dataset 2 solar_radiation_out_CNR1 ER_CSMWS,,,Dataset 3 infrared_radiation_in_CNR1_corr ER_CSMWS,,,Dataset 4 infrared_radiation_out_CNR1_corr ER_CSMWS,,
13-Jan,83.00812501,57.89067361,244.1020833,264.8208333,,,datetime,value (W/m2),,datetime,value (W/m2),,datetime,value (W/m2),,datetime,value (W/m2),
14-Jan,85.91027778,58.84837499,237.2868056,262.8625,,1-Oct,10/1/17 0:00,-0.214166667,58.73541667,10/1/17 0:00,0.8265,7.627458333,10/1/17 0:00,324.4166667,322.15,10/1/17 0:00,331.9333333,339.9236111
15-Jan,82.31919444,57.84086806,222.4534722,263.39375,,2-Oct,10/1/17 1:00,-0.503166667,63.53129167,10/1/17 1:00,0.711,7.946555555,10/1/17 1:00,325.8,319.6090278,10/1/17 1:00,331.35,336.7722222
16-Jan,86.64309028,57.37836806,216.3923611,247.2555556,,3-Oct,10/1/17 2:00,-0.483666667,138.3468194,10/1/17 2:00,0.854166667,19.11385417,10/1/17 2:00,314.2333333,297.5923611,10/1/17 2:00,329.1666667,344.2368056
17-Jan,82.48365973,57.00922917,209.2020833,247.6006944,,4-Oct,10/1/17 3:00,-0.908833333,124.3359236,10/1/17 3:00,0.843166667,18.34415278,10/1/17 3:00,300.9666667,297.3277778,10/1/17 3:00,326.15,355.1423611
18-Jan,78.2828125,54.1980625,223.5597222,258.5673611,,5-Oct,10/1/17 4:00,-0.837833333,122.4589514,10/1/17 4:00,0.761333333,18.40090278,10/1/17 4:00,303.5333333,300.3826389,10/1/17 4:00,323.5166667,357.3013889
19-Jan,80.57683333,55.26820833,243.5701389,277.7041667,,6-Oct,10/1/17 5:00,-0.347333333,108.0043889,10/1/17 5:00,0.673,16.81528472,10/1/17 5:00,311.7666667,275.0138889,10/1/17 5:00,323.4666667,335.4020833
20-Jan,47.23054861,35.68472222,276.0854167,293.3569444,,7-Oct,10/1/17 6:00,-0.143833333,141.0200347,10/1/17 6:00,0.673,22.03606944,10/1/17 6:00,320.5,267.35,10/1/17 6:00,325.75,339.7534722
21-Jan,43.78006944,36.60913889,275.6173611,279.3381944,,8-Oct,10/1/17 7:00,-0.107,139.2979236,10/1/17 7:00,0.673,22.2094375,10/1/17 7:00,322.7833333,268.6777778,10/1/17 7:00,325.8333333,339.31875
22-Jan,89.81446528,61.86472222,210.2423611,251.1347222,,9-Oct,10/1/17 8:00,-0.1405,53.13339584,10/1/17 8:00,0.6715,50.01811805,10/1/17 8:00,322.8,292.0888889,10/1/17 8:00,326.2666667,311.0986111
23-Jan,92.64532639,61.6185625,220.3659722,250.6263889,,10-Oct,10/1/17 9:00,-0.526833333,141.7894167,10/1/17 9:00,0.673,72.17890278,10/1/17 9:00,318.9833333,250.2736111,10/1/17 9:00,325.0333333,299.4020833
24-Jan,92.56325,61.99917361,217.7125,249.2277778,,11-Oct,10/1/17 10:00,16.25683333,130.32125,10/1/17 10:00,4.8595,30.91681945,10/1/17 10:00,304.55,264.1152778,10/1/17 10:00,321.4333333,320.25
25-Jan,71.60100695,51.65805556,230.3465278,262.8090278,,12-Oct,10/1/17 11:00,113.9383333,128.371375,10/1/17 11:00,16.4945,19.76573611,10/1/17 11:00,307.4666667,274.5444444,10/1/17 11:00,336.85,334.6763889
26-Jan,58.7339375,48.47135417,258.775,275.3090278,,13-Oct,10/1/17 12:00,222.95,132.8215486,10/1/17 12:00,25.98333333,20.62538889,10/1/17 12:00,318.75,271.4611111,10/1/17 12:00,357.3333333,336.1354167
27-Jan,93.37651389,64.87148611,223.2388889,245.675,,14-Oct,10/1/17 13:00,232.4833333,133.0568819,10/1/17 13:00,25.93833333,22.15534722,10/1/17 13:00,321.8333333,263.3701389,10/1/17 13:00,367.0666667,333.3868056
28-Jan,91.85608333,64.55448611,222.9451389,261.6826389,,15-Oct,10/1/17 14:00,197.7666667,130.9804861,10/1/17 14:00,21.925,21.34774306,10/1/17 14:00,336.3166667,245.0034722,10/1/17 14:00,371.1833333,317.7152778
29-Jan,94.75824306,64.06556945,232.0597222,267.6180556,,16-Oct,10/1/17 15:00,237.5333333,132.2340764,10/1/17 15:00,27.35,21.938,10/1/17 15:00,333.3833333,248.9208333,10/1/17 15:00,374.7666667,323.8597222
30-Jan,90.75092362,62.47163194,237.0965278,275.1479167,,17-Oct,10/1/17 16:00,174.4666667,124.9015486,10/1/17 16:00,20.935,20.15382639,10/1/17 16:00,335.4666667,258.0819445,10/1/17 16:00,369.3333333,328.7597222
31-Jan,87.92729862,61.20508333,265.9708333,300.74375,,18-Oct,10/1/17 17:00,98.895,119.1579375,10/1/17 17:00,10.784,19.10158333,10/1/17 17:00,336.3166667,265.1638889,10/1/17 17:00,366.6333333,332.4180556
1-Feb,70.46790972,50.49309722,275.3118056,306.8138889,,19-Oct,10/1/17 18:00,48.16666667,105.6882153,10/1/17 18:00,5.588833333,16.54124306,10/1/17 18:00,334.3333333,282.0770833,10/1/17 18:00,355.3166667,339.4597222
2-Feb,89.26694445,58.77868055,278.1548611,305.85,,20-Oct,10/1/17 19:00,42.225,99.10665278,10/1/17 19:00,6.0885,15.95397917,10/1/17 19:00,332.2,300.9375,10/1/17 19:00,339.1666667,344.3534722
3-Feb,97.5335625,67.39235417,271.5215278,304.0958333,,21-Oct,10/1/17 20:00,24.97483333,122.0365625,10/1/17 20:00,4.732166667,32.18740278,10/1/17 20:00,330.2333333,280.5618056,10/1/17 20:00,336.75,312.1125
4-Feb,79.54034028,55.58127083,273.7486111,303.125,,22-Oct,10/1/17 21:00,5.578166667,117.8743819,10/1/17 21:00,2.355166667,18.48515972,10/1/17 21:00,326.9666667,253.9048611,10/1/17 21:00,333.8333333,314.0145833
5-Feb,51.08654166,41.481375,297.8513889,307.5826389,,23-Oct,10/1/17 22:00,-0.713833333,117.8950278,10/1/17 22:00,1.395166667,19.84240278,10/1/17 22:00,325.7,276.8506944,10/1/17 22:00,331.1166667,333.4972222
