Date,Vis_in,Vis_out,IR_in,IR_out
31-Dec,60.90815278,41.77552083,270.9270833,302.1256944
1-Jan,72.60404167,48.06254861,229.3722222,266.4097222
2-Jan,74.20967361,48.13854167,219.5236111,270.9798611
3-Jan,67.96619444,44.72910417,212.0159722,250.9756945
4-Jan,72.72070833,46.97860417,218.8326389,259.3173611
5-Jan,69.227375,45.65339583,237.0979167,271.1430556
6-Jan,38.75028473,27.5934375,269.1201389,284.3097222
7-Jan,75.99313195,56.61094445,269.8215278,290.5465278
8-Jan,69.42175694,48.37438194,248.04375,270.5826389
9-Jan,56.96583333,44.34283333,298.8451389,307.2777778
10-Jan,36.86865972,32.45743055,299.125,301.9847222
11-Jan,81.01427778,58.11567361,222.2631944,270.31875
12-Jan,48.04740972,39.91779167,266.2020833,277.0527778
13-Jan,83.00812501,57.89067361,244.1020833,264.8208333
14-Jan,85.91027778,58.84837499,237.2868056,262.8625
15-Jan,82.31919444,57.84086806,222.4534722,263.39375
16-Jan,86.64309028,57.37836806,216.3923611,247.2555556
17-Jan,82.48365973,57.00922917,209.2020833,247.6006944
18-Jan,78.2828125,54.1980625,223.5597222,258.5673611
19-Jan,80.57683333,55.26820833,243.5701389,277.7041667
20-Jan,47.23054861,35.68472222,276.0854167,293.3569444
21-Jan,43.78006944,36.60913889,275.6173611,279.3381944
22-Jan,89.81446528,61.86472222,210.2423611,251.1347222
23-Jan,92.64532639,61.6185625,220.3659722,250.6263889
24-Jan,92.56325,61.99917361,217.7125,249.2277778
25-Jan,71.60100695,51.65805556,230.3465278,262.8090278
26-Jan,58.7339375,48.47135417,258.775,275.3090278
27-Jan,93.37651389,64.87148611,223.2388889,245.675
28-Jan,91.85608333,64.55448611,222.9451389,261.6826389
29-Jan,94.75824306,64.06556945,232.0597222,267.6180556
30-Jan,90.75092362,62.47163194,237.0965278,275.1479167
31-Jan,87.92729862,61.20508333,265.9708333,300.74375
1-Feb,70.46790972,50.49309722,275.3118056,306.8138889
2-Feb,89.26694445,58.77868055,278.1548611,305.85
3-Feb,97.5335625,67.39235417,271.5215278,304.0958333
4-Feb,79.54034028,55.58127083,273.7486111,303.125
5-Feb,51.08654166,41.481375,297.8513889,307.5826389
6-Feb,70.6764375,60.6213125,279.6319444,290.8256944
7-Feb,112.9159028,77.06715972,235.0277778,264.9472222
8-Feb,97.29134028,68.36582639,244.0395833,275.3145833
9-Feb,88.01972222,62.82210417,260.5666667,289.7694445
10-Feb,18.5825,23.28284722,294.275,300.7875
11-Feb,117.2767708,83.75434722,203.6902778,246.7048611
12-Feb,43.95320833,44.54019444,273.1493056,275.3256944
13-Feb,75.09668056,69.73063889,293.5576389,300.1055556
14-Feb,54.56656945,44.3069375,293.03125,301.6104167
15-Feb,62.67965972,52.75714583,294.68125,298.5923611
16-Feb,106.3640764,80.61593056,256.0715278,265.4048611
17-Feb,125.8328819,88.25631944,233.9173611,276.3361111
18-Feb,126.5710694,88.48089583,233.4729167,274.8166667
19-Feb,55.22345834,44.44947917,286.6215278,298.4506944
20-Feb,101.1459444,80.45927777,252.7645833,262.4388889
21-Feb,124.9940556,89.87125,235.6486111,244.6576389
22-Feb,79.56528472,63.80979861,257.8916667,268.71875
23-Feb,66.97070139,61.68855555,269.6875,268.5854167
24-Feb,131.0544583,96.83861805,233.1027778,259.0965278
25-Feb,102.7510625,89.26138889,248.6486111,259.7361111
26-Feb,141.1756042,96.49015278,216.5506945,253.2673611
27-Feb,141.9602986,96.66067361,228.5791667,271.9354167
28-Feb,144.2152847,102.2618125,253.1111111,279.9548611
1-Mar,124.0747847,83.09508333,241.81875,274.5083333
2-Mar,146.3089861,98.16529166,257.5673611,286.9791667
3-Mar,141.8621667,94.60191667,241.5423611,287.2854167
4-Mar,116.924507,82.74416666,253.8645833,282.7006945
5-Mar,147.1414375,103.3672847,223.3388889,263.85625
6-Mar,153.7624375,103.0760139,216.6868056,266.4895833
7-Mar,147.2019028,98.90954861,224.79375,269.3520833
8-Mar,149.5125764,100.0462639,246.9208333,285.9652778
9-Mar,141.9035833,96.34013889,256.9673611,293.8986111
10-Mar,111.0626875,76.03041666,282.4201389,306.3333333
11-Mar,130.7370069,85.99199305,246.4402778,290.4857639
12-Mar,151.3547847,96.7843125,262.3555556,296.2715278
13-Mar,153.9647708,93.63465278,258.2458333,303.1395833
14-Mar,124.3072292,77.41002778,293.4805556,317.7631944
15-Mar,80.29219445,60.15599305,298.9993056,313.2375
16-Mar,155.5515695,113.2587847,268.3520833,293.5555556
17-Mar,160.3838403,107.901375,240.8173611,284.9201389
18-Mar,119.4553264,87.02577083,260.7555556,286.5027778
19-Mar,158.2026319,112.8757153,236.3520833,274.2618056
20-Mar,151.0428264,107.8408056,240.5444444,274.0763889
21-Mar,90.79015972,68.69804861,267.8847222,288.9159722
22-Mar,55.12429167,42.08131944,295.9881944,305.6229167
23-Mar,84.84670833,68.03408333,316.1361111,317.1729167
24-Mar,118.7672153,87.40136111,278.1375,304.5166667
25-Mar,143.9992153,98.16640972,271.5,304.3131945
26-Mar,183.2015417,115.8591042,262.3256944,306.5798611
27-Mar,181.0046181,110.8502639,260.2263889,304.2395833
28-Mar,135.9828403,88.99347222,266.0541667,297.5736111
29-Mar,150.8688056,105.6926944,254.3263889,294.2541667
30-Mar,173.9064583,112.0851389,257.0986111,297.7861111
31-Mar,182.4038056,108.2709028,267.7618055,311.29375
1-Apr,177.6059236,100.4641042,287.0770833,324.8548611
2-Apr,171.1797083,95.6981875,279.3229167,316.0347222
3-Apr,197.1747986,129.1917847,256.5222222,299.6520833
4-Apr,143.7786458,88.32982639,264.2965278,296.9902778
5-Apr,147.6720972,80.98608333,267.0909722,306.1770833
6-Apr,50.40636111,40.61604861,314.0090278,313.5916667
7-Apr,81.03386111,51.94070833,324.3291667,322.1680555
8-Apr,148.9897083,94.92389584,302.4159722,318.3930556
9-Apr,204.2758403,132.6863056,275.7729167,314.0340278
10-Apr,188.5811667,106.6828125,260.9076389,307.8569444
11-Apr,176.4625556,85.7641875,280.7958333,318.3895833
12-Apr,89.345,42.27834722,297.3319444,321.8013889
13-Apr,178.8218819,84.30367361,262.8069445,295.7513889
14-Apr,208.5737222,87.70720833,255.18125,300.3701389
15-Apr,190.4068333,67.09395139,272.8486111,316.2020833
16-Apr,109.2595069,33.80076389,300.1777778,327.7569444
17-Apr,109.7783403,30.97133333,273.5111111,312.3680555
18-Apr,208.1360903,46.08072222,240.0541667,314.55625
19-Apr,163.4844375,27.97829861,269.0805556,323.9784722
20-Apr,95.72247916,59.79375,308.4680556,318.4631945
21-Apr,159.1645278,63.34250694,294.2444444,314.7888889
22-Apr,212.3015694,26.21525,268.5326389,337.1958333
23-Apr,174.0575903,19.93911111,288.85625,344.9972222
24-Apr,152.7778264,20.07389583,307.3361111,343.0972222
25-Apr,221.6678889,24.73675,249.8722222,340.6840278
26-Apr,217.6957847,25.10366667,261.2083333,341.2875
27-Apr,213.3780208,24.02211806,270.1215278,354.3826389
28-Apr,152.2966528,16.84311111,292.5430556,355.3548611
29-Apr,150.562,16.88866667,316.6416667,355.4194444
30-Apr,167.7926944,19.6228125,289.6166667,351.8298611
